mz,composition
2325.7961,Gc_8+Fuc+Na
2471.854,Gc_8+Fucx2+Na
2617.9119,Gc_8+Fucx3+Na
2259.695,Gc_8+S+Na
2339.6518,Gc_8+Sx2+Na
2195.7331,Gc_9+Na
2275.6899,Gc_9+S+Na
2355.6467,Gc_9+Sx2+Na
2401.6829,Gc_11+S+Na*2
2481.6397,Gc_11+Sx2+Na*2
2467.784,Gc_12+Na*2
2613.8419,Gc_12+Fuc+Na*2
2547.7408,Gc_12+S+Na*2
2627.6976,Gc_12+Sx2+Na*2
2305.7311,Gc_13+Na*2
2385.6879,Gc_13+S+Na*2
2465.6447,Gc_13+Sx2+Na*2
2451.789,Gc_14+Na*2
2597.8469,Gc_14+Fuc+Na*2
2743.9048,Gc_14+Fucx2+Na*2
2531.7458,Gc_14+S+Na*2
2611.7026,Gc_14+Sx2+Na*2
2508.8105,Gc_17+Na*2
2588.7673,Gc_17+S+Na*2
2668.7241,Gc_17+Sx2+Na*2
2654.8684,Gc_18+Na*2
2800.9263,Gc_18+Fuc+Na*2
2946.9842,Gc_18+Fucx2+Na*2
3093.0421,Gc_18+Fucx3+Na*2
2734.8252,Gc_18+S+Na*2
2814.782,Gc_18+Sx2+Na*2
2524.8054,Gc_23+Na*2
2604.7622,Gc_23+S+Na*2
2684.719,Gc_23+Sx2+Na*2
2670.8633,Gc_24+Na*2
2816.9212,Gc_24+Fuc+Na*2
2962.9791,Gc_24+Fucx2+Na*2
3109.037,Gc_24+Fucx3+Na*2
2750.8201,Gc_24+S+Na*2
2830.7769,Gc_24+Sx2+Na*2
2686.8583,Gc_27+Na*2
2766.8151,Gc_27+S+Na*2
2846.7719,Gc_27+Sx2+Na*2
2832.9162,Gc_28+Na*2
2978.9741,Gc_28+Fuc+Na*2
3125.032,Gc_28+Fucx2+Na*2
3271.0899,Gc_28+Fucx3+Na*2
2912.873,Gc_28+S+Na*2
2992.8298,Gc_28+Sx2+Na*2
2816.9212,Gc_29+Na*2
2962.9791,Gc_29+Fuc+Na*2
3109.037,Gc_29+Fucx2+Na*2
3255.0949,Gc_29+Fucx3+Na*2
2896.878,Gc_29+S+Na*2
2976.8348,Gc_29+Sx2+Na*2
2711.8899,Gc_30+Na*2
2791.8467,Gc_30+S+Na*2
2871.8035,Gc_30+Sx2+Na*2
2857.9478,Gc_31+Na*2
3004.0057,Gc_31+Fuc+Na*2
3150.0636,Gc_31+Fucx2+Na*2
3296.1215,Gc_31+Fucx3+Na*2
3442.1794,Gc_31+Fucx4+Na*2
2937.9046,Gc_31+S+Na*2
3017.8614,Gc_31+Sx2+Na*2
2727.8848,Gc_32+Na*2
2807.8416,Gc_32+S+Na*2
2887.7984,Gc_32+Sx2+Na*2
